Dataset Reg ID,Dataset Name,Dataset Schema Version,Virtual Folder Name,Datasource URI,Attribute Name,Attribute Value Sequence,Attribute Category Value,Frequency_Count
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,20,46,252
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,1,1.00056E+11,55
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,2,1.00045E+11,55
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,3,1.00024E+11,55
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,4,1.00041E+11,55
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,5,1.00013E+11,54
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,6,1.00024E+11,52
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,7,1.00001E+11,52
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,8,1.00012E+11,52
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,9,97473078,51
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,10,97473068,51
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,11,97473070,51
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,12,1.00056E+11,51
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,13,97473075,51
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,14,97473065,51
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,15,97473062,51
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,16,98146724,48
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,17,98146728,48
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,18,98146741,48
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,19,98146726,48
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,fnma_ln,20,1.00021E+11,47
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_hb_indicator,1,N,6513
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_hb_indicator,2,Y,2986
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_hb_indicator,3,722,1
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,1,112019,381
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,2,82019,375
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,3,112021,339
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,4,82021,311
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,5,112020,303
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,6,82023,300
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,7,22023,300
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,8,52023,295
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,9,82020,291
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,10,32021,288
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,11,22021,286
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,12,22020,275
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,13,52020,269
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,14,112022,265
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,15,82022,250
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,16,22022,248
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,17,72019,242
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,18,62022,229
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,19,122020,227
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,frst_pay_dt,20,62019,225
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,IO_ind,1,N,9500
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,IO_int_pay_dt,1,,9499
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,IO_int_pay_dt,2,N,1
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,1,1,630
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,2,2,602
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,3,0,512
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,4,3,508
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,5,4,485
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,6,5,463
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,7,6,410
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,8,7,383
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,9,8,376
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,10,9,336
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,11,10,318
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,12,11,297
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,13,12,268
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,14,13,255
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,15,14,242
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,16,15,221
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,17,16,210
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,18,17,192
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,19,18,178
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_age,20,19,174
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_purpose,1,P,5138
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_purpose,2,R,2615
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_purpose,3,C,1746
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,loan_purpose,4,Y,1
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,master_servicer,1,,9500
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,1,72049,386
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,2,102049,372
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,3,102050,279
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,4,72053,273
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,5,12053,272
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,6,42053,272
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,7,12050,259
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,8,22051,258
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,9,72051,255
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,10,102051,240
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,11,62049,237
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,maturity_dt,12,112050,226
